task,model,metric,mean,std,display
ADHD,BrainNetCNN,accuracy,0.48403224160799924,0.145239696748674,0.4840 ± 0.1452
ADHD,BrainNetCNN,balanced_accuracy,0.4963554489321599,0.018883951414422843,0.4964 ± 0.0189
ADHD,BrainNetCNN,f1,0.4511731614494642,0.3534494809440559,0.4512 ± 0.3534
ADHD,BrainNetCNN,roc_auc,0.5048379593249903,0.038331004079827376,0.5048 ± 0.0383
ADHD,BrainNetCNN,test_loss,0.76315409373492,0.4533136325773069,0.7632 ± 0.4533
Sex,BrainNetCNN,accuracy,0.6554569261639969,0.043584048405337375,0.6555 ± 0.0436
Sex,BrainNetCNN,balanced_accuracy,0.6822658626419426,0.030237243955191007,0.6823 ± 0.0302
Sex,BrainNetCNN,f1,0.604393650360122,0.029358859700563636,0.6044 ± 0.0294
Sex,BrainNetCNN,roc_auc,0.7593258726730822,0.04713336459144081,0.7593 ± 0.0471
Sex,BrainNetCNN,test_loss,1.8391393005847931,0.5668971062606182,1.8391 ± 0.5669
